@relation corpus_canadian_compliance_bow-weka.filters.unsupervised.attribute.NominalToString-C1-2

@attribute att1 string
@attribute att2 string
@attribute att3 {no,yes}

@data
Canada-ACTRESPECTINGTHESECTORALPARAMETERSOFCERTAINFISCALMEASURES.txt,'A particular title is considered to be a main multimedia title in relation to another title in this section referred to as a related title if it is produced by the corporation that produces the related title or by a corporation associated with it it meets the conditions of subparagraphs and of the first paragraph of section or those of the first paragraph of section and it is established to Investissement Québecs satisfaction that the total labour expenditure in respect of the title of the corporation that produces it is at least or that it is reasonable to expect that that total will be at least EXIT ',no
Canada-AlbertaElectionFinancesandContributionDisclosureActs132Exemptions1.txt,'Money or goods provided by any person that do not exceed in the aggregate are not a contribution for the purposes of this Act but shall be recorded as to the gross amount by the chief financial officer of the recipient unless the donor specifically requests that the amount be considered a contribution EXIT ',no
Canada-AlbertaElectionFinancesandContributionDisclosureActs171LimitationsonContributions2.txt,'Contributions by a person ordinarily resident in Alberta shall not exceed a in any year i to each registered party and ii to any registered constituency association and in the aggregate to the registered constituency associations of each registered party and b in any campaign period i to each registered party less any amount contributed to the party in that calendar year under clause ai and ii to any registered candidate and in the aggregate to the registered candidates of each registered party EXIT ',no
Canada-AlbertaElectionFinancesandContributionDisclosureActs18LimitationreSenatorialSelectionAct.txt,'For the purposes of an election under the Senatorial Selection Act contributions by a person ordinarily resident in Alberta shall not exceed a in any year to each registered party and ii in respect of a registered candidate less if the candidate was nominated by a registered political party for endorsation as the official candidate of that party any amount contributed to that party in that calendar year under clause a For the purposes of subsections bi and the maximum amount shall not exceed multiplied by the number of persons to be elected for which there is a candidate Where there is more than one candidate endorsed as the official candidates of a registered party by virtue of the number of persons to be elected the maximum amount that may be contributed in respect of registered candidates of that political party may not exceed multiplied by the number of persons to be elected for which there is a candidate but in no case may more than be contributed to any one candidate EXIT ',no
Canada-AlbertaElectionFinancesandContributionDisclosureActs9.11RegistrationofThirdParties3.txt,'A third party shall apply for registration under this section a when it has incurred expenses of or plans to incur expenses of at least for election advertising or b when it has accepted election advertising contributions of or plans to accept election advertising contributions of at least EXIT ',no
Canada-AlbertaElectoralFinancesandContributionDisclosureActs64QualificationsforRegistration1.txt,'The assets of a foundation established under subsection shall consist of funds not exceeding either on deposit with a financial institution or invested in accordance with the Trustee Act EXIT ',no
Canada-AnActrespectingthemandatoryreportingofInternetchildpornographybypersonswhoprovideanInternetservice.txt,'Every person who knowingly contravenes any of sections to is guilty of an offence and liable on summary conviction a in the case of an individual i for a first offence to a fine of not more than ii for a second offence to a fine of not more than and iii for each subsequent offence to a fine of not more than or to imprisonment for a term of not more than six months or to both and b in all other cases i for a first offence to a fine of not more than ii for a second offence to a fine of not more than and iii for each subsequent offence to a fine of not more than EXIT ',yes
Canada-BudgetImplementationAct2009.txt,'b increases by the amount on which the Age Credit is calculated c increases to the maximum amount eligible for withdrawal under the Home Buyers Plan EXIT ',no
Canada-BudgetImplementationAct20091.txt,'The tax payable under this Part by an individual on the individuals taxable income or taxable income earned in Canada as the case may be in this subdivision referred to as the amount taxable for a taxation year is a of the amount taxable if the amount taxable is equal to or less than the amount determined for the taxation year in respect of b if the amount taxable is greater than and is equal to or less than the maximum amount determinable in respect of the taxation year under paragraph a plus of the amount by which the amount taxable exceeds for the year c if the amount taxable is greater than but is equal to or less than the maximum amount determinable in respect of the taxation year under paragraph b plus of the amount by which the amount taxable exceeds for the year and d if the amount taxable is greater than the maximum amount determinable in respect of the taxation year under paragraph c plus of the amount by which the amount taxable exceeds for the year EXIT ',no
Canada-BudgetImplementationAct20092-2.txt,'For the purpose of this section a corporations business limit for a taxation year is unless the corporation is associated in the taxation year with one or more other Canadiancontrolled private corporations in which case except as otherwise provided in this section its business limit is nil EXIT ',no
Canada-BudgetImplementationAct20092.txt,'Paragraph c of the definition eligible individual in subsection of the Act is replaced by the following c the total of whose incomes for the year from the following sources is at least i offices and employments computed without reference to paragraph f ii businesses each of which is a business carried on by the individual either alone or as a partner actively engaged in the business and iii the program established under the Wage Earner Protection Program Act EXIT ',no
Canada-CityofTorontoAct.txt,'The actions referred to in subsection are a the appointment or removal from office of any city officer b the hiring or dismissal of any city employee c the disposition of any real or personal property of the City which has a value exceeding at the time of disposal and d making any expenditures or incurring any other liability which exceeds c Sched A s EXIT ',no
Canada-CorporationsInformationActRSO1990cC39.txt,'Every person who makes a statement in any document material evidence or information submitted or required by or for the purposes of this Act that at the time and in the light of the circumstances under which it is made is false or misleading with respect to any material fact or that omits to state any material fact the omission of which makes the statement false or misleading is guilty of an offence and on conviction is liable to a fine of not more than or to imprisonment for a term of not more than one year or to both or if such person is a corporation to a fine of not more than RSO c C s EXIT ',yes
Canada-CorporationsInformationActRSO1990cC391.txt,'Where a corporation is guilty of an offence under subsection every director or officer of such corporation who authorized permitted or acquiesced in such offence is also guilty of an offence and on conviction is liable to a fine of not more than or to imprisonment for a term of not more than one year or to both RSO c C s EXIT ',yes
Canada-CorporationsInformationActRSO1990cC392.txt,'Every person who a contravenes this Act or the regulations or b fails to observe or comply with an order direction or other requirement made under this Act or the regulations is except where such conduct constitutes an offence under section guilty of an offence and on conviction is liable to a fine of not more than or if such person is a corporation to a fine of not more than RSO c C s EXIT ',yes
Canada-CorporationsInformationActRSO1990cC393.txt,'Where a corporation is guilty of an offence under subsection every director or officer of the corporation and where the corporation is an extraprovincial corporation every person acting as his or her representative in Ontario who authorized permitted or acquiesced in such offence is also guilty of an offence and on conviction is liable to a fine of not more than RSO c C s EXIT ',yes
Canada-EconomicActionPlan2014.txt,'Division of Part amends the Employment Insurance Act to allow for the refund of a portion of employer premiums paid by small businesses in and An employer is eligible for that refund if its premium is or less for the year in question EXIT ',no
Canada-EconomicActionPlan20141.txt,'i throughout the period the particular corporation described in subparagraph ai has or is deemed for certain purposes to have billion or more of equity A if the particular corporation is a bank under the Bank Act B if the particular corporation is a trust company under the Trust and Loan Companies Act or C if the particular corporation is an insurance corporation under the Insurance Companies Act or EXIT ',no
Canada-ElectricUtilitiesAct.txt,'h to ensure in accordance with the regulations made under section that any net amount in the balancing pool accounts that is greater than or less than is included in the ISO tariff EXIT ',no
